"activities","subject","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-meanFreq()","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
"LAYING",1,-0.157544791588235,-0.275347116470588,0.09744882205,-0.000393125734782609,0.019937524,0.0923148293478261,-0.437250925769231,-0.787458425925926,-0.828511004444444,-0.732375498423077,-0.698447740416667,-0.660106938695652,0.126385168777778,0.0488114901875,0.1415110578,-0.0474984815882353,0.0566610008235294,-0.731485807307692,-0.717586761116,0.127083107485714,0.0175025741666667,-0.0289011141238095,0.0171952750466667,-0.588958769375,-0.53988201432,-0.663601262761905,-0.403807837529167,-0.286829175954545,-0.318813473782609,-0.669205190875,-0.46315394468,-0.591249578405263,-0.775549838114286,-0.860497765185185,-0.842646148571429,-0.732181008975,-0.68220679237037,-0.673536935,-0.824634164814815,-0.874545116296296,-0.884127176785714,-0.857175155714286,-0.853399641071429,-0.75884712484,-0.527409874185185,-0.483656886666667,-0.0827778541974359,-0.154819216289474,-0.576914594529412,-0.0721194667894737,0.193360105326087,-0.064537709637037,-0.888686629642857,-0.883883761814815,-0.731476313696154,-0.479944613272727,-0.218475353583333,0.338069242205882,0.0471271751952381,-0.0552630902861111,0.0909510804722222,-0.00309997678095238,0.0973171467055556,-0.696820525714286,-0.678271740185185,0.208779519416111,0.0528207070368421,-0.0401176157894737,-0.156930800895,-0.464597246708333,-0.483699953173913,-0.506248836692308,-0.873456519259259,-0.833239570714286,-0.874158495555556,-0.806421976296296,-0.86788892,-0.817429358518519,-0.594117176521739
"LAYING",2,-0.230755630909091,-0.316562268333333,0.0860528477021277,0.128935463736842,0.169859679,-0.0430448606521739,-0.587940949575758,-0.764138207636364,-0.855142889142857,-0.784528383142857,-0.765102958461538,-0.187789020482759,-0.0724590110958333,0.0158459502095238,0.014498917537037,0.0482225563932143,-0.00592963867857143,-0.595683532,-0.612710207322581,0.0320017536526316,-0.0255296901304348,-0.0770901699047619,-0.100225326318182,-0.5234366446687,-0.458503286019655,-0.433932928839394,-0.45931684025,-0.5215670488,-0.535738674705882,-0.63718093085,-0.454536968068966,-0.455134973142857,-0.879488636857143,-0.920272196285714,-0.901815822857143,-0.607361215272727,-0.706138026875,-0.579612369242424,-0.92849037,-0.905552129714286,-0.918292072,-0.886035227428571,-0.823594737685714,-0.597277004724138,-0.519949161633333,-0.488109982796552,-0.128348612284615,-0.150050293822222,-0.63284413326087,0.0673281003823529,0.201048679086957,-0.0228498534296296,-0.8593849624,-0.755843625228571,-0.798871223870968,-0.218378524761905,0.241972151846154,0.171184342947368,-0.178945837345833,-0.00503028034615384,-0.067035199144,-0.0999418472285714,-0.0711635557142857,-0.561121353885714,-0.648371388677419,0.155708768631579,-0.175783685925926,-0.3060116144875,-0.338869638333333,-0.679534875862069,-0.599937696151515,-0.76642427703125,-0.936665979428571,-0.864910415142857,-0.924766323142857,-0.897734962542857,-0.936917372285714,-0.805152222971429,-0.5011528061
"LAYING",3,-0.19532144003,-0.270326592105263,0.0802921248275862,-0.0138777811037037,-0.0188890034966667,-0.0410452356714286,-0.804950820666667,-0.924991267647059,-0.724596363055556,-0.491827580290323,-0.410425659206897,-0.221274332744828,0.0155040783166667,0.0109768259476191,-0.0171744150689655,0.0447698525454545,-0.110968195024,-0.364481618387097,-0.437025450758621,0.19893492637,-0.182145318083333,-0.12938291876,-0.079922255636,-0.12470594358,-0.128602722,-0.181163599464286,-0.234266625942857,-0.343732858742857,-0.324876418575758,-0.388974228451613,-0.426894231870968,-0.305487173515152,-0.734738781142857,-0.760195272805556,-0.760377531666667,-0.377820043787879,-0.47075592384375,-0.412209362096774,-0.727447595777778,-0.760560945555556,-0.758258930861111,-0.748697971080556,-0.635056841777778,-0.546805782342857,-0.562804009628571,-0.561307807419355,-0.170462375864583,-0.117479466051923,-0.271524075462264,0.00594741133740741,0.0350404663347826,0.0814004985892857,-0.826345191352941,-0.711419833777778,-0.64643186625,-0.209220952043478,0.001825003405,0.0198497238181818,-0.119673410611111,0.0212235043185185,-0.119048745376667,-0.0389817311290323,-0.033995061625,-0.333136452236667,-0.426057760642857,0.116184914777778,-0.234576950603214,-0.317976798925926,-0.309635262520833,-0.451777127176471,-0.522694074482759,-0.3790434604,-0.768486073428571,-0.762841408361111,-0.757119330277778,-0.811844774444444,-0.773179803611111,-0.618999720976471,-0.583252491416667
"LAYING",4,-0.286021703636364,-0.209284658685714,0.125048748612245,0.0293562167935484,-0.00654117691333333,0.0311189848387097,-0.647070001555556,-0.704802571878788,-0.663420285416667,-0.599770923576923,-0.114451961785714,0.1700288965,0.111132774954545,0.0462974706,0.0352940485962963,0.0473715559571429,-0.15032924412,-0.463638449692308,-0.588170173788667,-0.03428956655,-0.242355234619048,-0.17779809717,-0.2905340755,-0.323941511182759,-0.302463245357143,-0.328202384774194,-0.529439585029412,-0.653516865151515,-0.708164211588235,-0.194934749129032,-0.36686792834375,-0.371136842714286,-0.773990911,-0.790644005914286,-0.771208185294118,-0.5301507340625,-0.477377233806452,-0.448787569366667,-0.794901056285714,-0.839099465277778,-0.807734443243243,-0.745024074444444,-0.710493298378378,-0.513992877575,-0.429620057096552,-0.600197193485714,-0.0601558897478261,-0.151416501742308,-0.64835043455814,0.0738567514038461,-0.00973802919444445,-0.0844741635714286,-0.694190946,-0.622471603054054,-0.600292543448276,0.319083497538462,0.294166414035294,0.381076947740741,0.0284817496086957,-0.0190073614285714,-0.09203364428,-0.137624731596154,-0.169660867592593,-0.265534080566667,-0.518805767058824,0.0143121391035714,-0.335139685007143,-0.399215181185185,-0.4868214563,-0.724485388114286,-0.78236410684375,-0.624251512854545,-0.786162532771429,-0.784910112083333,-0.860061944363636,-0.804105108571429,-0.835974463194444,-0.786864732,-0.414966034925806
"LAYING",5,-0.253774446265,-0.261053608153846,0.135488528367347,0.0081250617368421,0.11556469,0.11531411655,-0.590790261724138,-0.71499865862069,-0.747806560333333,-0.586241838708333,-0.464697412962963,-0.513763311169565,0.0136381718333333,0.0197941223478261,-0.1189339303,-0.145487299708,-0.1009868590536,-0.581001003333333,-0.310655444074074,-0.0766007038888889,-0.132021753629167,-0.0230794324166667,-0.0238397183043478,-0.4659925233,-0.624600358275862,-0.575860048846154,-0.487033986241379,-0.605199832961538,-0.452481532455172,-0.60900018062069,-0.624741704482759,-0.62823487036,-0.8884515153125,-0.8975074665625,-0.88154910403125,-0.696737869322581,-0.756799023871429,-0.610107839788438,-0.8916882446875,-0.934651938125,-0.8475325203125,-0.776056974827586,-0.813226155483871,-0.62129254937931,-0.619725222137931,-0.650249598792,-0.134381358734286,-0.0591703088488889,-0.556653328473684,0.0544781503,0.02828139106,0.000356077999999996,-0.769130262833333,-0.698855437931034,-0.6518204132,-0.414137190344828,-0.558631355059091,-0.2102490235,-0.167458062269231,-0.263778401714286,-0.147353051388889,-0.118515395705882,-0.206303861772727,-0.698349702714286,-0.535629699583333,0.0707576784772727,-0.178449495988235,-0.053725163962963,-0.258638300492174,-0.5384533082,-0.58281206732,-0.374662397535714,-0.9101515440625,-0.9226089321875,-0.9212986875,-0.865735508125,-0.81058401875,-0.7155330585,-0.602066866551724
"LAYING",6,-0.269142142117647,-0.131254243315789,0.159255144565217,0.017087053,0.0434112129545455,-0.0424098057136364,-0.669214894322581,-0.889176439533333,-0.872752476,-0.573340068479643,-0.617523586137931,-0.600341317217391,0.125059377776471,0.0596516278947368,0.0720751611578947,-0.110678718142857,0.0190686302352941,-0.622590747516129,-0.562824662592593,0.123467102578947,0.0320762600952381,0.0387127681784211,0.027886905085,-0.522967523396429,-0.4590248880925,-0.392969354026087,-0.236135524307692,-0.362494347318182,-0.22141762575,-0.662275589777778,-0.529076351185185,-0.459757930791667,-0.861212301612903,-0.873887198709677,-0.850058558064516,-0.71529165,-0.7683601253,-0.720739320033333,-0.845490509677419,-0.868924778387097,-0.8813535,-0.696644126774194,-0.739435623870968,-0.636333437,-0.584681299269231,-0.420672237166667,-0.0662600722489796,-0.218828979582979,-0.370286044377778,0.159949905,0.109980122321429,-0.0585830284,-0.865623526774194,-0.92678978516129,-0.857595302857143,-0.319938987608696,-0.115066307941176,0.230574505578947,0.04105391835,-0.00933964185714285,-0.03271903355,0.0510959717333333,0.0994804178636364,-0.6273184986,-0.622685306428571,0.184761204941176,0.0369057809380952,0.0186603188743478,-0.0460092355142857,-0.274568133826087,-0.272930563375,-0.359499732896552,-0.894307729032258,-0.909898952580645,-0.870955859032258,-0.809374276451613,-0.919657792580645,-0.778708001935484,-0.394608002035714
"LAYING",7,-0.43079798607619,-0.599857796789474,0.00437375553387755,0.00927450419230769,-0.109789398346429,-0.0859173722538462,-0.555623002809524,-0.330755963392593,-0.615555914827586,-0.390073880324,-0.465957677666667,-0.2937758148,-0.030300179,0.100951904882353,-0.0379136168913043,-0.234074116181818,-0.0606470481428571,-0.312156983727273,-0.42325497476,-0.00122022436842105,-0.188472539789474,-0.144075067380952,-0.21057462165,-0.186962316977778,-0.203823791913043,-0.291648002342857,-0.369225035037037,-0.56475364,-0.488179028916,-0.341898753970909,-0.26231141492,-0.443063283357143,-0.565144379915385,-0.696697972819231,-0.635426441384615,-0.587373371625,-0.525471069222222,-0.536580574488,-0.683155829652174,-0.775495170037037,-0.72652663437037,-0.654182023126923,-0.615405875535714,-0.598794516892857,-0.698042979259259,-0.505344313530769,-0.224199057916667,-0.121224426991304,-0.348852723789474,-0.0550694378888889,-0.0832240095,-0.0214449166818182,-0.645658841991304,-0.400310451876,-0.565039588413333,-0.281086379235294,0.0311956554736842,-0.0594616724444444,-0.11037692915,0.01503416422,0.00385433641666667,-0.148895455666667,-0.137443266886364,-0.166297119570833,-0.416809923918182,-0.05399972855,-0.1118004914206,0.0140557872380952,-0.177775954891304,-0.444329930083333,-0.45391651175,-0.415186771817391,-0.713861599230769,-0.667886644269231,-0.736220884642857,-0.613784141481482,-0.782716705518518,-0.58392985088,-0.653377342518519
"LAYING",8,-0.427547153416667,-0.135006926166667,0.13539129116,0.130799378583333,0.0457755921178571,-0.202695121172414,-0.740046608885714,-0.810474184722222,-0.865383717647059,-0.593369393097143,-0.648398425806452,-0.485213930827586,0.0110466624090909,0.0236468802703704,-0.0244923949130435,-0.0483402221363636,-0.108242566936667,-0.551944323909091,-0.626569252535294,0.1318866096,-0.0238165091111111,-0.221763553243478,-0.14560445602,-0.443398955776,-0.297134868606061,-0.369064854533333,-0.466068332733333,-0.503658129303125,-0.526498671061143,-0.483977210833333,-0.395674167154545,-0.518548118775,-0.833804427972973,-0.867652982352941,-0.810624857837838,-0.62217075429697,-0.52748337806,-0.539922247205882,-0.885303937027027,-0.878719547837838,-0.856502051351351,-0.808619090833333,-0.730483203459459,-0.608329107911765,-0.481649180125,-0.740518073823529,-0.0756648923513513,-0.07954661955,-0.546942747460465,-0.0762294530833333,0.0733166944111111,0.00904737988,-0.736851318181818,-0.669546581666667,-0.645847844878788,-0.196645779214286,0.102970507263158,0.391897643274074,-0.0037378918,-0.039063734,-0.0599170841566667,0.00532235098965517,-0.179256449884615,-0.489780486896552,-0.579159511257143,0.0261779182272727,-0.215763969224138,-0.382894574055556,-0.382602872562593,-0.617983000357143,-0.465967026666667,-0.5914104438925,-0.877125783297297,-0.875358890432432,-0.884842316486486,-0.903047122647059,-0.913000125405405,-0.697286432181818,-0.450287820046875
"LAYING",9,-0.209701929375,-0.17060550705,0.0959325021463415,-0.0329855973,0.0514861371111111,0.0784746877142857,-0.580487047916667,-0.800271109166667,-0.8034019328,-0.567963285083333,-0.527842043508,-0.498903350789474,-0.0489774089368421,0.00985052044444445,0.12479883128,0.138465641964706,0.0705980557647059,-0.488418213347826,-0.204892994,0.0987347811333333,-0.0310245872,0.0156106728286667,0.0514311875263158,-0.37255902,-0.229569304,-0.436341165217391,-0.5516822713,-0.537292565894737,-0.217896032045455,-0.5462989368,-0.594825432727273,-0.392365813125,-0.798933043076923,-0.790776318461539,-0.83310958,-0.633279401307692,-0.648085415615385,-0.546139756461538,-0.789580658076923,-0.916087744615385,-0.949787756153846,-0.6322358572,-0.619442941923077,-0.683535525416667,-0.419457164166667,-0.153773421631579,-0.0732906161714286,-0.18908298245,-0.243926013432432,0.105108104117647,0.01481680720625,-0.0489272066,-0.844154400807692,-0.896548382692308,-0.863261983708333,-0.3105613681,-0.20107666,-0.0178121672222222,0.120609495294118,0.04361256201875,-0.0200619686315789,0.0064354611,0.10791388366,-0.50701033072,-0.390247507142857,0.15565016908,-0.06524372535,-0.139327586210526,-0.08404011765625,-0.317466471517647,-0.17759203273913,-0.3551016285,-0.861247819615385,-0.853735506153846,-0.829980708846154,-0.837967412307692,-0.902110528461538,-0.639567988,-0.656847811764706
"LAYING",10,-0.00226205155555553,-0.260905132727273,0.1523993438,-0.0109245954,0.0903143206206897,0.0388088704848485,-0.884052274666667,-0.8473724292825,-0.703823146604651,-0.742593031926829,-0.656241974125,-0.329709182914286,-0.0147725253666667,-0.00958859396551724,0.134624310115385,-0.0802039190323529,-0.139415235296296,-0.572358628709677,-0.632703999166667,-0.00268281312580645,-0.283050776242424,-0.409590454575,-0.622559617258065,-0.563814849403333,-0.276362180225,-0.484221918648649,-0.707924860128205,-0.672587348051282,-0.590342533063415,-0.425948734557143,-0.424288315721622,-0.410481765533333,-0.909507649069767,-0.867382494666667,-0.903648111727273,-0.598773038475,-0.567085021627907,-0.544163221357143,-0.869916524772727,-0.917245848409091,-0.9291398,-0.736036739545455,-0.673690526488372,-0.579196889697674,-0.671134075216216,-0.814446081744186,-0.0756439804089796,-0.153380501482364,-0.688546246311111,0.0223846820777778,0.0289523960606061,-0.0451813422210526,-0.795065488704545,-0.78775185344186,-0.681842250684211,0.10396333087619,0.5533800672,0.566402889518182,0.0238373099714286,-0.149435675892647,-0.211834908484848,-0.0807241428259259,0.0608853608787879,-0.270149410146341,-0.500518839976744,-0.0185585302939394,-0.464843915236842,-0.556973155128205,-0.635953533297297,-0.642304422428571,-0.688039788512195,-0.719332905439024,-0.894260578222222,-0.897911300666667,-0.910243540222222,-0.892570158863636,-0.904970533111111,-0.630812378304651,-0.595529061816279
